Key,English,Filipino
CLIENT_TREEHELP_INC_000003,Basic Operations,Mga Pangunahing Operasyon
CLIENT_TREEHELP_INC_000008,How do I fly?,Pano ako lilipad?
CLIENT_TREEHELP_INC_000009,Aerial Combat,Labanang Panghimpapawid
CLIENT_TREEHELP_INC_000013,Magic Attack,Mahiwagang Atake
CLIENT_TREEHELP_INC_000045,Task bar,Task Bar
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,Pag-imbita ng miyembro sa isang Party
CLIENT_TREEHELP_INC_000073,Call,Panawagan
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,Impormasyon ng Guild
CLIENT_TREEHELP_INC_000093,Vagrant,Vagrant
CLIENT_TREEHELP_INC_000097,First Job Transfer,Unang Paglipat ng Trabaho
CLIENT_TREEHELP_INC_000103,Bloody Strike,Bloody Strike
CLIENT_TREEHELP_INC_000108,Sneaker,Sneaker
CLIENT_TREEHELP_INC_000109,Empower Weapon,Empower Weapon
CLIENT_TREEHELP_INC_000119,Slow Step,Slow Step
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,Yo-Yo Mastery
CLIENT_TREEHELP_INC_000121,Snatch,Snatch
CLIENT_TREEHELP_INC_000124,Counterattack,Counterattack
CLIENT_TREEHELP_INC_000128,Auto Shot,Auto Shot
CLIENT_TREEHELP_INC_000129,Aimed Shot,Aimed Shot
CLIENT_TREEHELP_INC_000139,Cat's Reflex,Cat's Reflex
CLIENT_TREEHELP_INC_000140,Cannon Ball,Cannon Ball
CLIENT_TREEHELP_INC_000166,Blinkpool,Blinkpool
CLIENT_TREEHELP_INC_000167,Second Job Transfer,Ikalawang Paglipat ng Trabaho
CLIENT_TREEHELP_INC_000172,Power Stomp,Power Stomp
CLIENT_TREEHELP_INC_000187,Critical Swing,Critical Swing
CLIENT_TREEHELP_INC_000194,Vital stab,Vital Stab
CLIENT_TREEHELP_INC_000195,Ranger,Ranger
CLIENT_TREEHELP_INC_000204,RingMaster,RingMaster
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,Bgvur Tialbold
CLIENT_TREEHELP_INC_000222,Elementor,Elementor
CLIENT_TREEHELP_INC_000241,Blizzard,Blizzard
CLIENT_TREEHELP_INC_000255,Flying level,Antas ng Paglipad
CLIENT_TREEHELP_INC_000256,Flying experience,Karanasan sa Paglipad
CLIENT_TREEHELP_INC_000257,Travel experience point,Travel experience point
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP (karaniwang karanasan)
CLIENT_TREEHELP_INC_000267,GP (growth point),GP (growth point)
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,Ultimate na Pag-upgrade ng Sandata
CLIENT_TREEHELP_INC_000289,Mineral,Mineral
CLIENT_TREEHELP_INC_000290,Erons,Erons
CLIENT_TREEHELP_INC_000291,Krasec,Krasec
CLIENT_TREEHELP_INC_000292,Guru,Guru
CLIENT_TREEHELP_INC_000293,Collector,Collector
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,PK attack
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,Karma Points at Parusa
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,Pag-uuri ng mga user ayon sa Karma Points
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,PK user Field at Pagbawi ng Karma Points
CLIENT_TREEHELP_INC_000303,Regional setting,Regional na setting
CLIENT_TREEHELP_INC_000304,Safety Zone,Ligtas na Zona
CLIENT_TREEHELP_INC_000305,Penalty PK zone,Parusang PK na Zona
CLIENT_TREEHELP_INC_000306,Free PK zone,Libreng PK na Zona
CLIENT_TREEHELP_INC_000307,Classfying Server,Pag-uuri ng Server
CLIENT_TREEHELP_INC_000308,Normal Server,Normal na Server
CLIENT_TREEHELP_INC_000309,PVP server,PVP Server
CLIENT_TREEHELP_INC_000313,Weapon store,Tindahan ng Sandata
CLIENT_TREEHELP_INC_000318,Public office,Public Office
CLIENT_TREEHELP_INC_000320,Beauty Shop,Shop ng Pampaganda
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Paki-pili ang subcategory upang makita ang available na impormasyon.
