Key,English,Italian
CLIENT_TREEHELP_INC_000003,Basic Operations,Operazioni di Base
CLIENT_TREEHELP_INC_000008,How do I fly?,Come faccio a volare?
CLIENT_TREEHELP_INC_000009,Aerial Combat,Aerial Combat
CLIENT_TREEHELP_INC_000013,Magic Attack,Attacco Magico
CLIENT_TREEHELP_INC_000045,Task bar,Task bar
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,Invitare membri al Party
CLIENT_TREEHELP_INC_000073,Call,Chiamata
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,Guild Information
CLIENT_TREEHELP_INC_000093,Vagrant,Vagrant
CLIENT_TREEHELP_INC_000097,First Job Transfer,First Job Transfer
CLIENT_TREEHELP_INC_000103,Bloody Strike,Colpo Sanguinoso
CLIENT_TREEHELP_INC_000108,Sneaker,Sneaker
CLIENT_TREEHELP_INC_000109,Empower Weapon,Empower Weapon
CLIENT_TREEHELP_INC_000119,Slow Step,Slow Step
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,Yo-Yo Mastery
CLIENT_TREEHELP_INC_000121,Snatch,Snatch
CLIENT_TREEHELP_INC_000124,Counterattack,Counterattack
CLIENT_TREEHELP_INC_000128,Auto Shot,Auto Shot
CLIENT_TREEHELP_INC_000129,Aimed Shot,Aimed Shot
CLIENT_TREEHELP_INC_000139,Cat's Reflex,Cat's Reflex
CLIENT_TREEHELP_INC_000140,Cannon Ball,Cannon Ball
CLIENT_TREEHELP_INC_000166,Blinkpool,Blinkpool
CLIENT_TREEHELP_INC_000167,Second Job Transfer,Second Job Transfer
CLIENT_TREEHELP_INC_000172,Power Stomp,Power Stomp
CLIENT_TREEHELP_INC_000187,Critical Swing,Critical Swing
CLIENT_TREEHELP_INC_000194,Vital stab,Vital stab
CLIENT_TREEHELP_INC_000195,Ranger,Ranger
CLIENT_TREEHELP_INC_000204,RingMaster,RingMaster
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,Bgvur Tialbold
CLIENT_TREEHELP_INC_000222,Elementor,Elementor
CLIENT_TREEHELP_INC_000241,Blizzard,Blizzard
CLIENT_TREEHELP_INC_000255,Flying level,Flying level
CLIENT_TREEHELP_INC_000256,Flying experience,Flying experience
CLIENT_TREEHELP_INC_000257,Travel experience point,Travel experience point
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP (common experience)
CLIENT_TREEHELP_INC_000267,GP (growth point),GP (growth point)
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,Ulitmate Weapon Upgrade
CLIENT_TREEHELP_INC_000289,Mineral,Mineral
CLIENT_TREEHELP_INC_000290,Erons,Erons
CLIENT_TREEHELP_INC_000291,Krasec,Krasec
CLIENT_TREEHELP_INC_000292,Guru,Guru
CLIENT_TREEHELP_INC_000293,Collector,Collector
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,PK attack
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,Karma Point and Penalty
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,Classfying users according to Karma Point
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,PK user Field and Recovering Karma Point
CLIENT_TREEHELP_INC_000303,Regional setting,Regional setting
CLIENT_TREEHELP_INC_000304,Safety Zone,Safety Zone
CLIENT_TREEHELP_INC_000305,Penalty PK zone,Penalty PK zone
CLIENT_TREEHELP_INC_000306,Free PK zone,Free PK zone
CLIENT_TREEHELP_INC_000307,Classfying Server,Classfying Server
CLIENT_TREEHELP_INC_000308,Normal Server,Normal Server
CLIENT_TREEHELP_INC_000309,PVP server,PVP server
CLIENT_TREEHELP_INC_000313,Weapon store,Weapon store
CLIENT_TREEHELP_INC_000318,Public office,Public office
CLIENT_TREEHELP_INC_000320,Beauty Shop,Beauty Shop
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Please select a subcategory to view available information.
