Key,English,Polish
CLIENT_TREEHELP_INC_000003,Basic Operations,Podstawowe Działania
CLIENT_TREEHELP_INC_000008,How do I fly?,Jak latać?
CLIENT_TREEHELP_INC_000009,Aerial Combat,Ariel Walka
CLIENT_TREEHELP_INC_000013,Magic Attack,Atak Magiczny
CLIENT_TREEHELP_INC_000045,Task bar,Pasek Zadań
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,Zapraszanie członków do Drużyny
CLIENT_TREEHELP_INC_000073,Call,Zwołanie
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,Informacje Gildii
CLIENT_TREEHELP_INC_000093,Vagrant,Włóczęga
CLIENT_TREEHELP_INC_000097,First Job Transfer,Pierwsza Zmiana Zawodu
CLIENT_TREEHELP_INC_000103,Bloody Strike,Krwawy Cios
CLIENT_TREEHELP_INC_000108,Sneaker,Sieć Łowcy
CLIENT_TREEHELP_INC_000109,Empower Weapon,Wzmocnienie Broni
CLIENT_TREEHELP_INC_000119,Slow Step,Wolny Krok
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,Mistrzostwo Yo-Yo
CLIENT_TREEHELP_INC_000121,Snatch,Uszczknięcie
CLIENT_TREEHELP_INC_000124,Counterattack,Kontratak
CLIENT_TREEHELP_INC_000128,Auto Shot,Automatyczne Strzelanie
CLIENT_TREEHELP_INC_000129,Aimed Shot,Celny Strzał
CLIENT_TREEHELP_INC_000139,Cat's Reflex,Koci Refleks
CLIENT_TREEHELP_INC_000140,Cannon Ball,Kula Armatnia
CLIENT_TREEHELP_INC_000166,Blinkpool,Teleportacja
CLIENT_TREEHELP_INC_000167,Second Job Transfer,Druga Zmiana Zawodu
CLIENT_TREEHELP_INC_000172,Power Stomp,Potężne Tupnięcie
CLIENT_TREEHELP_INC_000187,Critical Swing,Krytyczny Wymach
CLIENT_TREEHELP_INC_000194,Vital stab,Śmiertelny Cios
CLIENT_TREEHELP_INC_000195,Ranger,Strzelec
CLIENT_TREEHELP_INC_000204,RingMaster,Mistrz Pierścieni
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,Bgvur Tialbold
CLIENT_TREEHELP_INC_000222,Elementor,Elementalista
CLIENT_TREEHELP_INC_000241,Blizzard,Zamieć
CLIENT_TREEHELP_INC_000255,Flying level,Poziom Latania
CLIENT_TREEHELP_INC_000256,Flying experience,Doświadczenie Latania
CLIENT_TREEHELP_INC_000257,Travel experience point,Punkt Doświadczenia Podróży
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP (common experience)
CLIENT_TREEHELP_INC_000267,GP (growth point),GP (growth point)
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,Ulitmate Weapon Upgrade
CLIENT_TREEHELP_INC_000289,Mineral,Minerał
CLIENT_TREEHELP_INC_000290,Erons,Erony
CLIENT_TREEHELP_INC_000291,Krasec,Kraseki
CLIENT_TREEHELP_INC_000292,Guru,Guru
CLIENT_TREEHELP_INC_000293,Collector,Pochłaniacz
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,PK attack
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,Karma Point and Penalty
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,Classfying users according to Karma Point
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,PK user Field and Recovering Karma Point
CLIENT_TREEHELP_INC_000303,Regional setting,Regional setting
CLIENT_TREEHELP_INC_000304,Safety Zone,Safety Zone
CLIENT_TREEHELP_INC_000305,Penalty PK zone,Penalty PK zone
CLIENT_TREEHELP_INC_000306,Free PK zone,Free PK zone
CLIENT_TREEHELP_INC_000307,Classfying Server,Classfying Server
CLIENT_TREEHELP_INC_000308,Normal Server,Normal Server
CLIENT_TREEHELP_INC_000309,PVP server,PVP server
CLIENT_TREEHELP_INC_000313,Weapon store,Weapon store
CLIENT_TREEHELP_INC_000318,Public office,Public office
CLIENT_TREEHELP_INC_000320,Beauty Shop,Instytut urody
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Please select a subcategory to view available information.
