Key,English,Simplified_Chinese
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,达肯1：开采场 II
PATROL_DESTINATION_000003,Iblis Temple,幻魔依普利神殿
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,乐雅山脉盗贼团
PATROL_DESTINATION_000005,Base Camp of the Thieves,盗贼团基地
PATROL_DESTINATION_000006,Mars Dungeon,魔域密殿
PATROL_DESTINATION_000007,Altar of Violet,紫罗兰祭坛
PATROL_DESTINATION_000008,Depths of the Dorian,变异枪鱼深渊
PATROL_DESTINATION_000009,Lair of the Okean,皇冠海妖巢穴
PATROL_DESTINATION_000010,Date Location,约定地点
PATROL_DESTINATION_000011,Strange Entrance,诡秘入口
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,赫涅奥斯的失落秘宝
PATROL_DESTINATION_000013,Kaillun Forest,凯伦草原
PATROL_DESTINATION_000014,Ankou Asylum,安库的庇护所
