Key,English,Thai
CLIENT_TREEHELP_INC_000003,Basic Operations,วิธีเบื้องต้น
CLIENT_TREEHELP_INC_000008,How do I fly?,ฉันจะบินได้อย่างไร?
CLIENT_TREEHELP_INC_000009,Aerial Combat,การต่อสู้ทางอากาศ
CLIENT_TREEHELP_INC_000013,Magic Attack,การโจมตีด้วยเวทย์มนตร์
CLIENT_TREEHELP_INC_000045,Task bar,Task bar
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,เชิญสมาชิกเข้า Party
CLIENT_TREEHELP_INC_000073,Call,เรียก
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,ข้อมูลกิลด์
CLIENT_TREEHELP_INC_000093,Vagrant,Vagrant
CLIENT_TREEHELP_INC_000097,First Job Transfer,การเปลี่ยนอาชีพครั้งที่ 1
CLIENT_TREEHELP_INC_000103,Bloody Strike,Bloody Strike
CLIENT_TREEHELP_INC_000108,Sneaker,Sneaker
CLIENT_TREEHELP_INC_000109,Empower Weapon,Empower Weapon
CLIENT_TREEHELP_INC_000119,Slow Step,Slow Step
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,Yo-Yo Mastery
CLIENT_TREEHELP_INC_000121,Snatch,Snatch
CLIENT_TREEHELP_INC_000124,Counterattack,Counterattack
CLIENT_TREEHELP_INC_000128,Auto Shot,Auto Shot
CLIENT_TREEHELP_INC_000129,Aimed Shot,Aimed Shot
CLIENT_TREEHELP_INC_000139,Cat's Reflex,Cat's Reflex
CLIENT_TREEHELP_INC_000140,Cannon Ball,Cannon Ball
CLIENT_TREEHELP_INC_000166,Blinkpool,Blinkpool
CLIENT_TREEHELP_INC_000167,Second Job Transfer,การเปลี่ยนอาชีพครั้งที่ 2
CLIENT_TREEHELP_INC_000172,Power Stomp,Power Stomp
CLIENT_TREEHELP_INC_000187,Critical Swing,Critical Swing
CLIENT_TREEHELP_INC_000194,Vital stab,Vital stab
CLIENT_TREEHELP_INC_000195,Ranger,Ranger
CLIENT_TREEHELP_INC_000204,RingMaster,RingMaster
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,Bgvur Tialbold
CLIENT_TREEHELP_INC_000222,Elementor,Elementor
CLIENT_TREEHELP_INC_000241,Blizzard,Blizzard
CLIENT_TREEHELP_INC_000255,Flying level,เลเวลการบิน
CLIENT_TREEHELP_INC_000256,Flying experience,ประสบการณ์การบิน
CLIENT_TREEHELP_INC_000257,Travel experience point,ประสบการณ์เดินทาง
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP (ประสบการณ์ทั่วไป)
CLIENT_TREEHELP_INC_000267,GP (growth point),Stat points (แต้มคะแนน)
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,อัพเกรดอาวุธ Ulitmate
CLIENT_TREEHELP_INC_000289,Mineral,แร่
CLIENT_TREEHELP_INC_000290,Erons,Erons
CLIENT_TREEHELP_INC_000291,Krasec,Krasec
CLIENT_TREEHELP_INC_000292,Guru,Guru
CLIENT_TREEHELP_INC_000293,Collector,นักสะสม
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,การโจมตี PK
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,การลงโทษ
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,จำแนก User ตาม Karma Point
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,ผู้ใช้ PK ฟิลด์และการกู้คืน Karma Point
CLIENT_TREEHELP_INC_000303,Regional setting,สร้างพื้นที่
CLIENT_TREEHELP_INC_000304,Safety Zone,Safety Zone
CLIENT_TREEHELP_INC_000305,Penalty PK zone,Penalty PK zone
CLIENT_TREEHELP_INC_000306,Free PK zone,Free PK zone
CLIENT_TREEHELP_INC_000307,Classfying Server,ประเภทเซิร์ฟเวอร์
CLIENT_TREEHELP_INC_000308,Normal Server,เซิร์ฟเวอร์ปกติ
CLIENT_TREEHELP_INC_000309,PVP server,เซิร์ฟเวอร์ PVP
CLIENT_TREEHELP_INC_000313,Weapon store,ร้านขายอาวุธ
CLIENT_TREEHELP_INC_000318,Public office,ศาลากลาง
CLIENT_TREEHELP_INC_000320,Beauty Shop,ร้านเสริมสวย
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,Please select a subcategory to view available information.
